ID,Type,Time,percent
ApoA2_HDL_mg_d_l,EDTA,6,12.76344121
ApoA2_HDL_mg_d_l,EDTA,8,16.67633379
ApoB_VLDL_mg_d_l,EDTA,2,0.45421743
ApoB_VLDL_mg_d_l,EDTA,4,2.379359371
ApoB_VLDL_mg_d_l,EDTA,6,2.393803304
ApoB_VLDL_mg_d_l,EDTA,8,4.092902388
ApoB_IDL_mg_d_l,EDTA,2,4.760149125
ApoB_IDL_mg_d_l,EDTA,4,10.85399887
ApoB_IDL_mg_d_l,EDTA,6,16.67989716
ApoB_IDL_mg_d_l,EDTA,8,21.73978849
ApoB_LDL_mg_d_l,EDTA,2,4.745575687
ApoB_LDL_mg_d_l,EDTA,4,9.465018685
ApoB_LDL_mg_d_l,EDTA,6,12.95297472
ApoB_LDL_mg_d_l,EDTA,8,16.82271836
TG_VLDL_1_mg_d_l,EDTA,2,3.150582812
TG_VLDL_1_mg_d_l,EDTA,4,6.260971876
TG_VLDL_1_mg_d_l,EDTA,6,11.30820753
TG_VLDL_1_mg_d_l,EDTA,8,13.51393364
TG_VLDL_2_mg_d_l,EDTA,2,3.026793614
TG_VLDL_2_mg_d_l,EDTA,4,7.787748394
TG_VLDL_2_mg_d_l,EDTA,6,13.73967659
TG_VLDL_2_mg_d_l,EDTA,8,19.11559769
TG_VLDL_3_mg_d_l,EDTA,2,4.911478723
TG_VLDL_3_mg_d_l,EDTA,4,9.436461851
TG_VLDL_3_mg_d_l,EDTA,6,15.20099486
TG_VLDL_3_mg_d_l,EDTA,8,21.38192575
TG_VLDL_4_mg_d_l,EDTA,2,3.383197832
TG_VLDL_4_mg_d_l,EDTA,4,6.585881536
TG_VLDL_4_mg_d_l,EDTA,6,9.196600057
TG_VLDL_4_mg_d_l,EDTA,8,14.64235708
TG_VLDL_5_mg_d_l,EDTA,2,-3.565130382
TG_VLDL_5_mg_d_l,EDTA,4,-7.152727398
TG_VLDL_5_mg_d_l,EDTA,6,-11.73583704
TG_VLDL_5_mg_d_l,EDTA,8,-15.77946052
CHOL_VLDL_1_mg_d_l,EDTA,2,-0.107571733
CHOL_VLDL_1_mg_d_l,EDTA,4,1.683849939
CHOL_VLDL_1_mg_d_l,EDTA,6,4.296010409
CHOL_VLDL_1_mg_d_l,EDTA,8,4.360798844
CHOL_VLDL_2_mg_d_l,EDTA,2,3.354200294
CHOL_VLDL_2_mg_d_l,EDTA,4,9.003506643
CHOL_VLDL_2_mg_d_l,EDTA,6,14.36438714
CHOL_VLDL_2_mg_d_l,EDTA,8,18.92989422
CHOL_VLDL_3_mg_d_l,EDTA,2,8.432635992
CHOL_VLDL_3_mg_d_l,EDTA,4,14.54511509
CHOL_VLDL_3_mg_d_l,EDTA,6,20.7583955
CHOL_VLDL_3_mg_d_l,EDTA,8,27.57512435
CHOL_VLDL_4_mg_d_l,EDTA,2,4.767069378
CHOL_VLDL_4_mg_d_l,EDTA,4,9.632338464
CHOL_VLDL_4_mg_d_l,EDTA,6,14.44860373
CHOL_VLDL_4_mg_d_l,EDTA,8,20.61842552
CHOL_VLDL_5_mg_d_l,EDTA,2,-8.510875792
CHOL_VLDL_5_mg_d_l,EDTA,4,-14.56791061
CHOL_VLDL_5_mg_d_l,EDTA,6,-34.83010129
CHOL_VLDL_5_mg_d_l,EDTA,8,-52.31040382
fCHOL_VLDL_1_mg_d_l,EDTA,2,1.072843948
fCHOL_VLDL_1_mg_d_l,EDTA,4,8.038399074
fCHOL_VLDL_1_mg_d_l,EDTA,6,13.21086503
fCHOL_VLDL_1_mg_d_l,EDTA,8,16.50367181
fCHOL_VLDL_2_mg_d_l,EDTA,2,2.67193859
fCHOL_VLDL_2_mg_d_l,EDTA,4,7.534249792
fCHOL_VLDL_2_mg_d_l,EDTA,6,11.29493062
fCHOL_VLDL_2_mg_d_l,EDTA,8,13.97467588
fCHOL_VLDL_3_mg_d_l,EDTA,2,6.794098812
fCHOL_VLDL_3_mg_d_l,EDTA,4,12.29728828
fCHOL_VLDL_3_mg_d_l,EDTA,6,17.57771847
fCHOL_VLDL_3_mg_d_l,EDTA,8,23.59298219
fCHOL_VLDL_4_mg_d_l,EDTA,2,5.786643231
fCHOL_VLDL_4_mg_d_l,EDTA,4,11.10148079
fCHOL_VLDL_4_mg_d_l,EDTA,6,16.95725781
fCHOL_VLDL_4_mg_d_l,EDTA,8,23.17213084
PHOSL_VLDL_1_mg_d_l,EDTA,2,1.354551924
PHOSL_VLDL_1_mg_d_l,EDTA,4,4.960528138
PHOSL_VLDL_1_mg_d_l,EDTA,6,9.314089316
PHOSL_VLDL_1_mg_d_l,EDTA,8,11.77268105
PHOSL_VLDL_2_mg_d_l,EDTA,2,3.757164893
PHOSL_VLDL_2_mg_d_l,EDTA,4,9.605390147
PHOSL_VLDL_2_mg_d_l,EDTA,6,14.42255323
PHOSL_VLDL_2_mg_d_l,EDTA,8,20.15058287
PHOSL_VLDL_3_mg_d_l,EDTA,2,6.539520694
PHOSL_VLDL_3_mg_d_l,EDTA,4,13.67398737
PHOSL_VLDL_3_mg_d_l,EDTA,6,18.68430559
PHOSL_VLDL_3_mg_d_l,EDTA,8,25.66326489
PHOSL_VLDL_4_mg_d_l,EDTA,2,2.306915251
PHOSL_VLDL_4_mg_d_l,EDTA,4,6.080516891
PHOSL_VLDL_4_mg_d_l,EDTA,6,8.299230197
PHOSL_VLDL_4_mg_d_l,EDTA,8,12.84109811
PHOSL_VLDL_5_mg_d_l,EDTA,2,-5.824349101
PHOSL_VLDL_5_mg_d_l,EDTA,4,-11.3230584
PHOSL_VLDL_5_mg_d_l,EDTA,6,-22.43064673
