ID,Type,Time,percent
TG_HDL_4,EDTA,2,3.419238329
TG_HDL_4,EDTA,4,6.806731803
TG_HDL_4,EDTA,6,13.01361187
TG_HDL_4,EDTA,8,12.74450319
CHOL_HDL_1,EDTA,2,-1.960183767
CHOL_HDL_1,EDTA,4,-1.541494892
CHOL_HDL_1,EDTA,6,-2.938946877
CHOL_HDL_1,EDTA,8,-2.112635955
CHOL_HDL_2,EDTA,2,0.268233419
CHOL_HDL_2,EDTA,4,-3.454284096
CHOL_HDL_2,EDTA,6,-2.599558985
CHOL_HDL_2,EDTA,8,-1.253071001
CHOL_HDL_3,EDTA,2,1.251475077
CHOL_HDL_3,EDTA,4,1.183914475
CHOL_HDL_3,EDTA,6,1.851782058
CHOL_HDL_3,EDTA,8,7.04521081
CHOL_HDL_4,EDTA,2,0.078991318
CHOL_HDL_4,EDTA,4,0.475259702
CHOL_HDL_4,EDTA,6,0.462238557
CHOL_HDL_4,EDTA,8,4.324608898
fCHOL_HDL_1,EDTA,2,5.879850121
fCHOL_HDL_1,EDTA,4,12.17579669
fCHOL_HDL_1,EDTA,6,15.15403881
fCHOL_HDL_1,EDTA,8,20.11075522
fCHOL_HDL_2,EDTA,2,6.855251886
fCHOL_HDL_2,EDTA,4,12.56074355
fCHOL_HDL_2,EDTA,6,15.88190944
fCHOL_HDL_2,EDTA,8,23.11608251
fCHOL_HDL_3,EDTA,2,9.166585055
fCHOL_HDL_3,EDTA,4,17.16449014
fCHOL_HDL_3,EDTA,6,25.60177458
fCHOL_HDL_3,EDTA,8,31.48968168
fCHOL_HDL_4,EDTA,2,9.498997996
fCHOL_HDL_4,EDTA,4,17.12182839
fCHOL_HDL_4,EDTA,6,25.86206897
fCHOL_HDL_4,EDTA,8,32.11109094
PHOSL_HDL_1,EDTA,2,-0.507853017
PHOSL_HDL_1,EDTA,4,1.086974472
PHOSL_HDL_1,EDTA,6,0.171389539
PHOSL_HDL_1,EDTA,8,1.530646765
PHOSL_HDL_2,EDTA,2,-0.417484254
PHOSL_HDL_2,EDTA,4,-2.108081089
PHOSL_HDL_2,EDTA,6,-2.568647144
PHOSL_HDL_2,EDTA,8,-0.792913894
PHOSL_HDL_3,EDTA,2,1.195484145
PHOSL_HDL_3,EDTA,4,2.815057891
PHOSL_HDL_3,EDTA,6,3.970502
PHOSL_HDL_3,EDTA,8,8.857024096
PHOSL_HDL_4,EDTA,2,-0.39020498
PHOSL_HDL_4,EDTA,4,0.856299583
PHOSL_HDL_4,EDTA,6,1.029035935
PHOSL_HDL_4,EDTA,8,4.2303351
ApoA1_HDL_1,EDTA,2,5.744246788
ApoA1_HDL_1,EDTA,4,9.462585623
ApoA1_HDL_1,EDTA,6,14.38990944
ApoA1_HDL_1,EDTA,8,16.19024332
ApoA1_HDL_2,EDTA,2,-0.076916136
ApoA1_HDL_2,EDTA,4,1.370725994
ApoA1_HDL_2,EDTA,6,0.504758378
ApoA1_HDL_2,EDTA,8,3.9363563
ApoA1_HDL_3,EDTA,2,1.234652022
ApoA1_HDL_3,EDTA,4,1.510678963
ApoA1_HDL_3,EDTA,6,2.472077723
ApoA1_HDL_3,EDTA,8,6.716795677
ApoA1_HDL_4,EDTA,2,3.020375965
ApoA1_HDL_4,EDTA,4,6.121616621
ApoA1_HDL_4,EDTA,6,9.713323619
ApoA1_HDL_4,EDTA,8,13.5430327
ApoA2_HDL_1,EDTA,2,1.751848892
ApoA2_HDL_1,EDTA,4,8.213463231
ApoA2_HDL_1,EDTA,6,5.391588066
ApoA2_HDL_1,EDTA,8,11.32650934
ApoA2_HDL_2,EDTA,2,0.552932621
